code_gene,nom_bdcarthage,dtg_bathy,lon,lat,prof
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11786","44,99463","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12027","45,00173","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11811","44,99517","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11822","44,99547",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11831","44,99578","1,3"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11839","44,99609","1,3"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11848","44,9964","1,3"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11857","44,9967","1,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11866","44,99701","1,2"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1187","44,99733","1,2"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11873","44,99749","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11875","44,99758","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11876","44,99768","0,9"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11771","44,99442","1,1"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11953","45,00357","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11972","45,00325","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1197","45,00327","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11969","45,0033","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11967","45,00333","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11965","45,00336","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11963","45,00339","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11962","45,00342","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11961","45,00345","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11959","45,0035","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11626","44,99257","1,2"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12038","45,00137",1
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11955","45,00355","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11978","45,00314","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11951","45,00359","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11949","45,00362","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11949","45,00363","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11948","45,00365","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11946","45,00367","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11945","45,00369","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11943","45,00371","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11941","45,00372","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1194","45,00372","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11939","45,00373","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11937","45,00374","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11956","45,00354","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1199","45,00271","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11936","45,00374","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1202","45,00185","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1202","45,00195","0,8"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12019","45,00203","0,8"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12017","45,0021","0,8"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12014","45,00217","0,8"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12011","45,00225","0,8"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12008","45,00233","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12005","45,00241","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12002","45,00248","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11998","45,00256","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11974","45,00321","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11992","45,00267","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11976","45,00317","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11987","45,00275","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11985","45,00278","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11984","45,00282","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11983","45,00286","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11981","45,0029","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1198","45,00294","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1198","45,00298","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11979","45,00302","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11978","45,00306","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11978","45,0031","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12037","45,0013","0,8"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11994","45,00262","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,1202","45,00124","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11765","44,99709","0,8"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11967","45,00217","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11973","45,00209","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11978","45,00203","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11983","45,00195","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11988","45,00189","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11993","45,00181","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11999","45,00173","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12004","45,00164","0,7"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12009","45,00154","0,6"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11957","45,00232","0,4"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12017","45,00135","0,8"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,11951","45,00239","0,5"
S1215013,ETANG DE LACANAU,28/07/2008,"-1,12024","45,00112","0,8"
